Écarté: OG0040645.fa (1 séquences, 1 espèces)
Écarté: OG0036924.fa (1 séquences, 1 espèces)
Écarté: OG0060201.fa (1 séquences, 1 espèces)
Écarté: OG0002248.fa (72 séquences, 11 espèces)
Écarté: OG0001128.fa (117 séquences, 16 espèces)
Écarté: OG0028085.fa (1 séquences, 1 espèces)
Écarté: OG0062055.fa (1 séquences, 1 espèces)
Écarté: OG0029977.fa (1 séquences, 1 espèces)
Écarté: OG0017288.fa (3 séquences, 2 espèces)
Écarté: OG0018472.fa (3 séquences, 1 espèces)
Écarté: OG0016084.fa (3 séquences, 2 espèces)
Écarté: OG0012042.fa (8 séquences, 4 espèces)
Écarté: OG0039894.fa (1 séquences, 1 espèces)
Écarté: OG0005502.fa (37 séquences, 16 espèces)
Écarté: OG0066374.fa (1 séquences, 1 espèces)
Écarté: OG0065884.fa (1 séquences, 1 espèces)
Écarté: OG0025400.fa (1 séquences, 1 espèces)
Écarté: OG0052802.fa (1 séquences, 1 espèces)
Écarté: OG0011157.fa (11 séquences, 4 espèces)
Écarté: OG0005832.fa (35 séquences, 15 espèces)
Écarté: OG0070938.fa (1 séquences, 1 espèces)
Écarté: OG0010710.fa (13 séquences, 2 espèces)
Écarté: OG0021026.fa (2 séquences, 1 espèces)
Écarté: OG0070395.fa (1 séquences, 1 espèces)
Écarté: OG0034712.fa (1 séquences, 1 espèces)
Retenu: OG0008107.fa (27 séquences, 17 espèces)
Écarté: OG0049354.fa (1 séquences, 1 espèces)
Écarté: OG0032718.fa (1 séquences, 1 espèces)
Écarté: OG0048052.fa (1 séquences, 1 espèces)
Écarté: OG0061321.fa (1 séquences, 1 espèces)
Écarté: OG0046348.fa (1 séquences, 1 espèces)
Écarté: OG0066730.fa (1 séquences, 1 espèces)
Écarté: OG0055898.fa (1 séquences, 1 espèces)
Écarté: OG0009920.fa (19 séquences, 1 espèces)
Écarté: OG0054003.fa (1 séquences, 1 espèces)
Écarté: OG0039155.fa (1 séquences, 1 espèces)
Écarté: OG0043436.fa (1 séquences, 1 espèces)
Écarté: OG0038148.fa (1 séquences, 1 espèces)
Écarté: OG0058491.fa (1 séquences, 1 espèces)
Écarté: OG0046429.fa (1 séquences, 1 espèces)
Écarté: OG0061337.fa (1 séquences, 1 espèces)
Écarté: OG0028926.fa (1 séquences, 1 espèces)
Écarté: OG0052491.fa (1 séquences, 1 espèces)
Écarté: OG0052017.fa (1 séquences, 1 espèces)
Écarté: OG0072031.fa (1 séquences, 1 espèces)
Écarté: OG0012583.fa (7 séquences, 4 espèces)
Écarté: OG0022353.fa (2 séquences, 1 espèces)
Écarté: OG0014992.fa (4 séquences, 2 espèces)
Écarté: OG0071332.fa (1 séquences, 1 espèces)
Écarté: OG0003087.fa (57 séquences, 17 espèces)
Écarté: OG0031547.fa (1 séquences, 1 espèces)
Écarté: OG0058744.fa (1 séquences, 1 espèces)
Écarté: OG0059139.fa (1 séquences, 1 espèces)
Écarté: OG0003719.fa (50 séquences, 17 espèces)
Écarté: OG0016005.fa (3 séquences, 1 espèces)
Écarté: OG0002947.fa (59 séquences, 17 espèces)
Écarté: OG0021021.fa (2 séquences, 1 espèces)
Écarté: OG0042844.fa (1 séquences, 1 espèces)
Écarté: OG0028006.fa (1 séquences, 1 espèces)
Écarté: OG0064519.fa (1 séquences, 1 espèces)
Écarté: OG0045795.fa (1 séquences, 1 espèces)
Écarté: OG0011747.fa (9 séquences, 3 espèces)
Écarté: OG0017655.fa (3 séquences, 1 espèces)
Écarté: OG0055700.fa (1 séquences, 1 espèces)
Écarté: OG0023961.fa (2 séquences, 1 espèces)
Écarté: OG0035310.fa (1 séquences, 1 espèces)
Écarté: OG0044533.fa (1 séquences, 1 espèces)
